car,body,engV,engType,registration,year,model,drive
Skoda,hatch,1.4,Gas,yes,2008,Fabia,front
Fiat,van,1.9,Diesel,yes,2001,Doblo ����.,front
Skoda,hatch,1.8,Petrol,yes,2011,Octavia A5,front
Skoda,sedan,1.8,Petrol,yes,2012,Octavia A5,front
Mitsubishi,crossover,2.5,Diesel,yes,2006,Pajero Sport,full
VAZ,sedan,1.5,Gas,yes,2005,21099,front
ZAZ,hatch,0.9,Petrol,yes,1994,1102 �����,
Volkswagen,sedan,1.6,Petrol,yes,2013,Polo,front
Toyota,sedan,2.4,Petrol,yes,2009,Camry,front
Peugeot,other,1.6,Petrol,yes,2004,206,front
Bentley,crossover,6,Petrol,yes,2016,Bentayga,full
Audi,sedan,3,Diesel,yes,2008,A8,full
Mitsubishi,vagon,1.3,Petrol,yes,2005,Colt,front
Daewoo,sedan,1.4,Petrol,yes,2007,Lanos,front
Subaru,crossover,3,Gas,yes,2006,Tribeca,full
Hyundai,sedan,NA,Other,yes,2007,Accent,
Volkswagen,crossover,NA,Diesel,no,2000,Golf IV,full
Audi,vagon,2.5,Diesel,no,2002,A6 Allroad,full
Nissan,sedan,2,Petrol,yes,2003,Primera,front
Renault,van,1.5,Diesel,yes,2003,Kangoo ����.,front
Skoda,hatch,1.2,Petrol,yes,2007,Fabia,front
Mitsubishi,crossover,3,Gas,yes,2008,Pajero Wagon,full
Mitsubishi,sedan,2,Petrol,yes,2008,Lancer X,front
Volkswagen,vagon,2,Diesel,no,2006,Passat B6,front
Mazda,sedan,2,Gas,yes,1993,626,front
BMW,vagon,2,Petrol,yes,1993,520,rear
Volkswagen,sedan,1.8,Gas,yes,2005,Passat B5,front
Mitsubishi,vagon,2.5,Petrol,no,1997,Galant,front
Renault,hatch,2,Petrol,yes,2013,Megane,front
VAZ,sedan,1.6,Other,yes,2011,2115,front
Renault,van,2,Diesel,yes,2009,Trafic ����.,front
Audi,sedan,1.8,Petrol,yes,2001,A6,front
Volkswagen,hatch,1.2,Diesel,yes,2013,Polo,front
Audi,sedan,1.8,Petrol,yes,2012,A4,front
Nissan,hatch,1.2,Petrol,yes,2013,Micra,front
Volkswagen,hatch,1.2,Gas,yes,2004,Polo,front
Jeep,crossover,2.8,Diesel,yes,2008,Cherokee,full
Skoda,hatch,1.4,Diesel,yes,2010,Fabia,front
BMW,other,5,Petrol,yes,2005,M5,
Hyundai,hatch,1.1,Petrol,yes,2011,i10,front
Fiat,other,2,Diesel,yes,2007,Scudo ����.,front
GAZ,sedan,12,Petrol,yes,1962,21,rear
VAZ,sedan,1.3,Gas,yes,1987,2105,rear
Mitsubishi,sedan,1.5,Gas,yes,2010,Lancer X,
Skoda,vagon,1.6,Gas,yes,2008,Octavia,front
Toyota,sedan,2,Petrol,yes,2001,Avensis,front
VAZ,sedan,1.6,Petrol,yes,2006,1118,front
Citroen,hatch,1.6,Petrol,yes,2006,C4,front
Skoda,vagon,1.6,Diesel,yes,2012,Superb,front
Chevrolet,hatch,1.5,Petrol,yes,2005,Aveo,front
Renault,van,1.6,Other,yes,2006,Kangoo ����.,front
Mercedes-Benz,sedan,1.8,Other,yes,1995,C-Class,rear
Peugeot,other,1.6,Diesel,yes,2012,Partner ����.,front
Opel,vagon,1.8,Petrol,yes,1997,Vectra B,front
Mitsubishi,sedan,NA,Other,yes,1986,Galant,
Jaguar,sedan,3,Petrol,yes,2009,XF,rear
Ford,hatch,1.8,Petrol,yes,2002,Focus,front
Peugeot,hatch,1.4,Gas,yes,2010,207,front
Mercedes-Benz,sedan,2,Gas,yes,2000,E-Class,rear
Nissan,crossover,2.5,Diesel,yes,2007,Pathfinder,full
Volkswagen,vagon,1.9,Diesel,yes,2002,Sharan,front
Volvo,sedan,2,Petrol,yes,2011,S40,front
Honda,hatch,1.8,Petrol,yes,2010,Civic,front
BMW,sedan,3,Petrol,yes,2011,535,rear
VAZ,vagon,1.5,Petrol,yes,1999,2104,rear
Opel,van,2.5,Diesel,yes,2007,Vivaro ����.,front
Ford,hatch,1,Petrol,yes,2013,Focus,front
Peugeot,van,2,Diesel,yes,2002,Expert ����.,front
Audi,sedan,6.3,Petrol,yes,2013,A8,full
Mercedes-Benz,crossover,5,Gas,yes,2006,G 500,full
Nissan,sedan,99.99,Gas,yes,2007,Teana,front
BMW,sedan,NA,Petrol,no,1996,730,rear
VAZ,sedan,NA,Petrol,yes,1996,2107,rear
BMW,crossover,3,Diesel,yes,2005,X5,
Toyota,crossover,3.5,Petrol,yes,2012,Highlander,full
Mitsubishi,crossover,3.8,Gas,yes,2008,Pajero Wagon,full
Mercedes-Benz,sedan,2.57,Petrol,yes,2004,C-Class,full
Ford,hatch,1.25,Gas,yes,2009,Fiesta,front
Renault,van,2.5,Diesel,yes,2007,Trafic ����.,front
Toyota,hatch,1.3,Petrol,yes,2006,Yaris,front
Volkswagen,van,2,Diesel,yes,2014,Touran,front
Daewoo,sedan,1.6,Gas,yes,2006,Lanos,front
Mercedes-Benz,sedan,4,Diesel,no,2002,S 400,rear
Volkswagen,sedan,1.6,Petrol,yes,2014,Polo,front
Volkswagen,sedan,1.8,Petrol,yes,1991,Passat B3,front
Opel,hatch,1.2,Petrol,yes,2012,Corsa,front
BMW,crossover,3,Diesel,yes,2015,X6,full
Opel,sedan,1.8,Petrol,yes,1998,Vectra B,front
Volkswagen,other,1.4,Petrol,yes,2014,Polo,front
Mercedes-Benz,other,3,Diesel,yes,2008,GL 320,full
Audi,vagon,2.7,Gas,yes,2003,A6 Allroad,full
ZAZ,hatch,1.2,Petrol,yes,2004,1102 �����,front
BMW,other,1.8,Petrol,yes,1994,318,rear
Seat,hatch,1.8,Petrol,yes,2005,Leon,front
Kia,crossover,NA,Diesel,yes,2010,Soul,front
Chrysler,sedan,2.5,Petrol,yes,1995,Stratus,front
Opel,vagon,1.91,Diesel,yes,2008,Astra H,front
Honda,sedan,2,Gas,yes,2008,Accord,front
Mercedes-Benz,crossover,3,Diesel,yes,2009,ML 320,full
Honda,sedan,2,Petrol,yes,2007,Accord,front
Honda,hatch,1.8,Petrol,yes,2007,Civic,front
Peugeot,van,2,Diesel,yes,2004,Expert ����.,front
Mitsubishi,sedan,1.6,Petrol,yes,2008,Lancer,front
Land Rover,crossover,5,Petrol,yes,2014,Range Rover Sport,full
VAZ,hatch,1.5,Gas,yes,2005,2109,front
Skoda,vagon,1.6,Petrol,yes,2007,Octavia,front
Land Rover,crossover,5,Petrol,yes,2010,Range Rover,full
Toyota,hatch,1.3,Petrol,yes,2008,Yaris,front
BMW,hatch,1.6,Petrol,yes,2010,116,rear
Audi,vagon,2.5,Other,no,2001,A6,front
Renault,van,1.9,Diesel,yes,2000,Kangoo ����.,front
Chevrolet,sedan,1.8,Petrol,yes,2008,Lacetti,front
Smart,other,1,Other,yes,2012,Fortwo,rear
Toyota,crossover,3,Diesel,yes,2015,Land Cruiser Prado,full
Peugeot,van,1.9,Diesel,yes,2004,Partner ����.,front
Mercedes-Benz,sedan,3,Diesel,yes,2010,S 350,rear
Mitsubishi,sedan,2,Gas,yes,1998,Galant,front
Volkswagen,van,2.4,Diesel,yes,1988,LT ����.,rear
Mitsubishi,sedan,1.3,Gas,yes,1996,Lancer,front
Audi,vagon,2.5,Diesel,yes,2000,A6,full
Volkswagen,crossover,3,Diesel,yes,2014,Touareg,full
Geely,sedan,1.8,Gas,yes,2013,Emgrand 7 (EC7),front
Peugeot,vagon,1.6,Diesel,yes,2012,508,front
BMW,sedan,3,Petrol,yes,2008,330,rear
Audi,crossover,2,Petrol,yes,2016,Q3,full
BMW,crossover,4.4,Petrol,yes,2016,X6 M,full
Daewoo,sedan,1.3,Gas,yes,2004,Sens,front
Mercedes-Benz,vagon,2.2,Gas,yes,1995,E-Class,rear
Mitsubishi,sedan,1.6,Gas,yes,2000,Carisma,front
Citroen,hatch,1.6,Diesel,yes,2012,C4,front
Porsche,crossover,4.8,Petrol,yes,2007,Cayenne,full
Mazda,sedan,1.8,Gas,yes,2007,6,front
BMW,crossover,2,Petrol,yes,2010,X1,rear
Opel,hatch,2.2,Petrol,yes,2008,Vectra C,front
VAZ,hatch,1.5,Petrol,yes,1992,21093,front
BMW,crossover,4.4,Petrol,yes,2016,X5 M,full
Chevrolet,sedan,1.8,Petrol,yes,2007,Lacetti,front
Ford,sedan,2.5,Petrol,yes,2012,Kuga,full
Ford,sedan,2.5,Petrol,yes,2008,Mondeo,front
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Ford,sedan,2,Petrol,yes,2011,Mondeo,front
Audi,sedan,2.8,Petrol,yes,1992,100,front
VAZ,sedan,1.6,Gas,yes,2007,2170,front
Renault,vagon,1.5,Diesel,yes,2005,Grand Scenic,front
Audi,sedan,2.8,Petrol,yes,2012,A6,full
BMW,crossover,4.8,Petrol,yes,2007,X5,full
Mercedes-Benz,sedan,1.8,Gas,yes,2013,E-Class,rear
FAW,sedan,1.5,Petrol,yes,2013,V5,front
BMW,crossover,2,Other,yes,2016,X5,full
Volkswagen,sedan,3,Diesel,yes,2009,Phaeton,full
Ford,sedan,NA,Other,yes,1991,Sierra,
Infiniti,crossover,4.5,Gas,yes,2004,FX 45,full
Daewoo,hatch,1.5,Petrol,yes,1998,Lanos,front
Volkswagen,other,1.9,Diesel,yes,2006,Caddy ����.,
Mazda,sedan,2,Petrol,yes,2006,6,front
Chevrolet,sedan,1.8,Gas,yes,2006,Lacetti,front
Audi,vagon,3.2,Petrol,yes,2006,A6 Allroad,full
Volkswagen,van,2,Diesel,yes,2005,Caddy ����.,front
Mitsubishi,sedan,2,Petrol,yes,2008,Lancer X,front
Porsche,crossover,4.8,Petrol,yes,2008,Cayenne,full
Skoda,hatch,1.4,Petrol,yes,2005,Fabia,front
Nissan,hatch,NA,Other,yes,2013,Leaf,front
Subaru,hatch,1.5,Petrol,yes,2008,Impreza,full
Kia,hatch,1.2,Other,yes,2012,Picanto,front
Skoda,hatch,1.2,Petrol,yes,2008,Fabia,front
Audi,crossover,2,Diesel,yes,2013,Q5,full
Opel,vagon,2,Gas,yes,1995,Omega,rear
Mercedes-Benz,sedan,3.2,Diesel,yes,2004,S 320,rear
Jeep,crossover,4,Gas,yes,2001,Grand Cherokee,full
Suzuki,hatch,1.3,Gas,yes,2014,Splash,
Peugeot,hatch,1.6,Diesel,yes,2011,308,front
Nissan,hatch,NA,Other,yes,2013,Leaf,rear
Hyundai,sedan,1.4,Petrol,yes,2013,Accent,front
Hyundai,crossover,3,Diesel,yes,2008,ix55 (Veracruz),full
Hyundai,crossover,2.2,Diesel,yes,2014,Santa FE,full
Land Rover,crossover,3.6,Diesel,yes,2010,Range Rover,full
Infiniti,crossover,3.5,Petrol,yes,2009,FX 35,full
Land Rover,crossover,3,Diesel,yes,2015,Range Rover Sport,full
Geely,sedan,1.5,Gas,yes,2008,CK,front
Volkswagen,sedan,1.6,Diesel,yes,2016,Jetta,front
Renault,sedan,1.9,Diesel,no,2005,Laguna,front
Chevrolet,sedan,1.5,Petrol,yes,2010,Aveo,front
VAZ,sedan,1.5,Petrol,yes,2002,2110,front
Skoda,sedan,1.2,Petrol,yes,2014,Rapid,front
Toyota,sedan,2.4,Petrol,yes,2007,Camry,front
Peugeot,hatch,1,Petrol,yes,2012,107,front
Nissan,crossover,2,Petrol,yes,2010,Qashqai,front
Mercedes-Benz,van,2.2,Diesel,yes,2013,Vito ����.,rear
Geely,sedan,1.8,Petrol,yes,2013,Emgrand 7 (EC7),front
Mercedes-Benz,sedan,5,Petrol,yes,2002,E-Class,rear
ZAZ,other,99.99,Gas,yes,2008,110557,
Toyota,sedan,2.5,Petrol,yes,2013,Camry,front
Daewoo,hatch,0.8,Petrol,yes,2006,Matiz,front
Daewoo,sedan,1.3,Petrol,yes,2010,Sens,front
Mazda,sedan,1.6,Petrol,yes,2008,3,front
Audi,crossover,4.2,Petrol,yes,2007,Q7,full
Alfa Romeo,hatch,1.4,Petrol,yes,2012,Giulietta,front
Honda,crossover,2.4,Petrol,yes,2015,CR-V,full
Nissan,crossover,2,Gas,yes,2011,Qashqai,front
Volkswagen,sedan,1.6,Petrol,yes,2012,Polo,front
Nissan,crossover,2,Diesel,yes,2013,X-Trail,full
Mercedes-Benz,sedan,6,Petrol,yes,2011,S 600,
Toyota,crossover,2,Petrol,yes,2011,Rav 4,full
Hyundai,hatch,1.4,Diesel,yes,2014,i30,front
Nissan,crossover,2,Petrol,yes,2012,Qashqai,
Audi,sedan,3,Petrol,yes,2011,S5,full
Mazda,crossover,2.3,Petrol,yes,2007,CX-7,full
Opel,sedan,1.8,Petrol,yes,2006,Vectra C,
Renault,van,1.9,Diesel,yes,2006,Trafic ����.,front
Skoda,sedan,2,Diesel,yes,2016,Octavia A7,front
Hummer,crossover,3.5,Gas,yes,2007,H3,full
BMW,crossover,3,Diesel,yes,2009,X5,full
Lexus,sedan,3,Petrol,yes,2008,IS 300,rear
Skoda,sedan,NA,Petrol,yes,2011,Superb,front
Nissan,crossover,2,Petrol,yes,2008,X-Trail,full
Mercedes-Benz,sedan,3,Diesel,yes,1999,E-Class,rear
VAZ,crossover,1.7,Petrol,yes,2008,2121,full
Mazda,crossover,2.3,Petrol,yes,2008,CX-7,full
VAZ,hatch,1.6,Gas,yes,2008,2109,front
VAZ,sedan,1.6,Petrol,yes,2012,2115,front
UAZ,crossover,2.7,Petrol,yes,2008,�������,full
Hyundai,hatch,1.4,Petrol,yes,2008,Getz,front
Hyundai,crossover,2,Gas,yes,2010,IX35,full
Lexus,sedan,3.5,Petrol,yes,2010,GS 350,full
Skoda,vagon,1.4,Petrol,yes,2002,Fabia,front
Mitsubishi,sedan,1.5,Gas,yes,2011,Lancer X,front
Toyota,sedan,1.33,Petrol,yes,2014,Corolla,front
Toyota,sedan,2.5,Gas,yes,2014,Camry,front
Audi,sedan,NA,Gas,yes,1999,A6,
Ford,crossover,2.5,Gas,yes,2011,Kuga,full
Volkswagen,van,1.9,Diesel,yes,2007,T5 (Transporter) ����,front
Skoda,hatch,NA,Petrol,yes,2003,Octavia,front
Peugeot,sedan,1.6,Diesel,yes,2013,301,front
Opel,vagon,1.3,Diesel,yes,2006,Combo ����.,front
Daewoo,sedan,NA,Gas,yes,2007,Nexia,front
Audi,crossover,3,Diesel,yes,2013,Q7,full
Mercedes-Benz,van,2.2,Diesel,yes,2007,Vito ����.,rear
Honda,crossover,2,Petrol,yes,2004,CR-V,full
Mercedes-Benz,crossover,3,Diesel,yes,2013,GL 350,full
Hyundai,sedan,3.3,Gas,yes,2006,Sonata,front
Volkswagen,sedan,1.8,Petrol,yes,2012,Passat CC,
Mercedes-Benz,other,2,Petrol,yes,1996,E-Class,rear
VAZ,sedan,1.3,Petrol,yes,1990,2109,front
Renault,vagon,1.5,Diesel,yes,2012,Megane,full
Opel,sedan,2,Gas,yes,1996,Omega,rear
Mercedes-Benz,sedan,5.5,Petrol,yes,2006,S 500,rear
Honda,crossover,2,Gas,no,2002,CR-V,full
Peugeot,sedan,2,Petrol,yes,2010,407,front
Lexus,sedan,4.6,Petrol,yes,2008,LS 460,rear
Nissan,crossover,3.5,Petrol,yes,2007,Murano,full
Toyota,sedan,1.8,Petrol,yes,2008,Avensis,front
Renault,other,2,Diesel,yes,2012,Trafic ����.,front
Mercedes-Benz,other,2.2,Diesel,yes,2012,Sprinter 313 ����.,rear
Renault,other,2,Diesel,yes,2013,Trafic ����.,front
Volkswagen,hatch,1.6,Petrol,yes,2008,Golf V,front
Ford,van,2,Gas,yes,1991,Transit ����.,rear
Audi,hatch,1.6,Petrol,no,1999,A3,front
Opel,van,1.9,Diesel,yes,2004,Vivaro ����.,front
Nissan,sedan,1.8,Gas,yes,1999,Primera,front
Volkswagen,sedan,2.3,Petrol,yes,1999,Bora,front
Suzuki,crossover,2,Petrol,yes,2003,Grand Vitara,full
Mercedes-Benz,sedan,2,Petrol,yes,2001,C-Class,rear
Volkswagen,van,1.2,Petrol,yes,2012,Caddy ����.,front
Peugeot,van,2.2,Diesel,yes,2008,Boxer ����.,front
Hyundai,crossover,2,Other,yes,2012,IX35,full
Mercedes-Benz,other,2.2,Diesel,yes,2011,Vito ����.,
Volkswagen,hatch,1.9,Diesel,yes,2008,Caddy ����.,front
Fiat,hatch,1.6,Petrol,yes,1991,Tipo,front
Mercedes-Benz,sedan,5.5,Petrol,yes,2006,S 500,rear
Renault,sedan,1.4,Gas,yes,2008,Symbol,front
Nissan,crossover,2.49,Diesel,yes,2011,Murano,full
Volkswagen,crossover,2.5,Diesel,yes,2006,Touareg,full
Land Rover,crossover,3,Diesel,yes,2011,Range Rover Sport,full
Skoda,vagon,1.8,Petrol,yes,2012,Octavia Scout,full
Volkswagen,van,2.5,Diesel,yes,2000,T4 (Transporter) ����,full
Chrysler,sedan,3.5,Gas,yes,2010,300 C,rear
Volkswagen,sedan,1.6,Diesel,yes,2016,Jetta,front
Ford,sedan,2,Gas,yes,1983,Sierra,rear
Chery,sedan,1.6,Petrol,yes,2007,Amulet,front
Rover,sedan,1.4,Petrol,yes,1988,200,front
Renault,sedan,1.4,Petrol,yes,2007,Symbol,front
Peugeot,sedan,2,Gas,yes,1990,605,front
Mercedes-Benz,crossover,3.2,Diesel,yes,2008,GL 320,full
Volkswagen,van,1.6,Diesel,yes,2011,Caddy ����.,front
Nissan,hatch,NA,Other,yes,2014,Leaf,front
Mazda,sedan,1.8,Petrol,yes,2004,6,front
Toyota,crossover,4,Gas,yes,2006,FJ Cruiser,
Skoda,sedan,1.8,Petrol,yes,2012,Octavia A5,front
Daewoo,sedan,1.5,Petrol,yes,2008,Lanos,front
Toyota,sedan,1.8,Gas,yes,2007,Avensis,front
Audi,sedan,2.5,Diesel,no,2002,A6,
Mercedes-Benz,crossover,5.5,Petrol,yes,2011,GL 500,full
Renault,vagon,1.5,Diesel,yes,2011,Megane,front
Toyota,sedan,2.4,Petrol,yes,2008,Camry,front
Hyundai,sedan,2,Petrol,yes,2009,Sonata,front
VAZ,sedan,1.6,Petrol,yes,2003,2107,rear
Volkswagen,other,2,Petrol,yes,2011,Scirocco,front
Toyota,sedan,1.6,Petrol,yes,2009,Corolla,front
Kia,crossover,1.7,Diesel,yes,2012,Sportage,front
Kia,crossover,2,Petrol,yes,1997,Sportage,full
VAZ,hatch,1.6,Gas,yes,2012,2114,front
Nissan,hatch,NA,Other,yes,2014,Leaf,front
Mercedes-Benz,van,2.2,Diesel,yes,2016,V 250,full
Renault,van,1.5,Diesel,yes,2007,Kangoo ����.,front
BMW,sedan,2.5,Petrol,no,2002,525,rear
Mercedes-Benz,sedan,2.9,Diesel,no,1997,E-Class,rear
Hyundai,crossover,2,Petrol,yes,2010,IX35,front
Volkswagen,van,1.9,Diesel,yes,2006,T5 (Transporter) ����.,front
Chevrolet,sedan,NA,Gas,yes,2008,Aveo,front
Skoda,hatch,1.2,Gas,yes,2004,Fabia,front
Opel,sedan,2.2,Petrol,yes,2007,Vectra C,front
Volkswagen,crossover,2,Diesel,yes,2008,Tiguan,full
Peugeot,other,1.6,Diesel,no,2012,308,front
Hyundai,hatch,1.4,Petrol,yes,2013,i30,front
Honda,hatch,1.8,Petrol,yes,2007,Civic,front
Peugeot,other,1.6,Petrol,yes,2009,308,front
Skoda,sedan,1.9,Diesel,yes,2009,Octavia A5,front
Hyundai,hatch,1.25,Petrol,yes,2011,i20,front
Honda,sedan,2,Petrol,yes,2008,Accord,front
Renault,sedan,1.4,Petrol,yes,2011,Logan,front
Toyota,van,2.4,Diesel,yes,1992,Hiace ����.,rear
Hyundai,crossover,2,Petrol,yes,2011,IX35,full
Mitsubishi,crossover,2,Petrol,yes,2013,Outlander XL,
Audi,sedan,2.8,Petrol,yes,2010,A6,full
Hyundai,hatch,1.1,Gas,yes,2006,Getz,front
Ford,hatch,1,Petrol,yes,2015,Focus,front
Volkswagen,sedan,2,Petrol,yes,2000,Bora,front
Skoda,sedan,1.6,Petrol,yes,2010,Octavia A5,front
Ford,sedan,2.3,Gas,yes,1997,Scorpio,rear
Volkswagen,other,1.4,Petrol,yes,2013,Scirocco,front
Honda,crossover,2.4,Gas,yes,2008,CR-V,full
Skoda,vagon,2,Petrol,yes,2001,Octavia Tour,front
Mercedes-Benz,crossover,NA,Gas,yes,2004,ML 350,full
Mitsubishi,hatch,1.3,Petrol,yes,2010,Colt,front
Nissan,sedan,1.6,Petrol,yes,2006,Primera,front
Citroen,hatch,1.6,Petrol,yes,2011,C3,front
Mitsubishi,crossover,2.4,Petrol,yes,2011,Outlander XL,full
Kia,hatch,1.12,Diesel,yes,2008,Picanto,front
Renault,sedan,1.4,Petrol,yes,2013,Symbol,front
Audi,crossover,3,Diesel,yes,2014,Q7,full
Mercedes-Benz,crossover,3,Petrol,yes,2016,GLS 400,full
Lexus,crossover,3.5,Petrol,yes,2011,RX 350,full
Mercedes-Benz,crossover,2.2,Diesel,yes,2016,GLC-Class,full
Mercedes-Benz,sedan,5.5,Petrol,yes,2010,S 500,full
Porsche,crossover,4.8,Petrol,yes,2007,Cayenne,full
Audi,crossover,2.98,Diesel,yes,2016,Q7,full
BMW,sedan,3,Diesel,yes,2000,530,rear
Geely,sedan,1.8,Petrol,yes,2012,Emgrand 7 (EC7),front
Toyota,sedan,3.5,Gas,yes,2007,Camry,rear
Nissan,crossover,2,Gas,yes,2002,X-Trail,full
Mercedes-Benz,other,2.2,Diesel,yes,2011,Sprinter 319 ����.,rear
Hyundai,other,2,Gas,yes,2007,Tucson,front
Audi,vagon,2.5,Diesel,no,2002,A6,full
Mercedes-Benz,crossover,4,Diesel,yes,2004,ML 400,full
ZAZ,sedan,1.2,Petrol,yes,2002,1103 �������,front
Infiniti,crossover,3.5,Gas,yes,2005,FX 35,full
Skoda,sedan,1.8,Gas,yes,2007,Superb,front
BMW,crossover,2,Petrol,yes,2013,X1,rear
Hyundai,crossover,NA,Gas,no,2011,IX35,full
Toyota,crossover,3,Diesel,yes,2008,Land Cruiser Prado,full
Acura,crossover,3.7,Petrol,yes,2008,MDX,full
Mitsubishi,sedan,NA,Petrol,yes,2007,Lancer,front
Infiniti,crossover,3.7,Petrol,yes,2011,FX 37,full
Lexus,sedan,4.6,Other,no,2009,LS 460,rear
ZAZ,sedan,1.5,Petrol,yes,2014,Forza,front
Land Rover,crossover,5,Petrol,yes,2013,Range Rover,full
Seat,hatch,1.4,Petrol,yes,2011,Ibiza,front
Suzuki,crossover,2,Petrol,yes,2006,Grand Vitara,full
Fiat,hatch,1.4,Petrol,yes,2007,Punto,front
Porsche,crossover,3,Diesel,yes,2010,Cayenne,full
VAZ,sedan,NA,Petrol,yes,1985,2106,front
Lexus,crossover,5.7,Petrol,yes,2016,LX 570,full
Land Rover,crossover,5,Petrol,yes,2011,Range Rover Sport,full
Audi,other,3,Petrol,yes,2011,A5,full
Opel,sedan,2.2,Petrol,yes,2004,Vectra C,front
Geely,hatch,1.5,Petrol,yes,2012,MK Cross,front
Opel,van,2,Diesel,yes,2007,Vivaro ����.,front
Honda,sedan,1.4,Petrol,yes,1996,Civic,front
Toyota,other,2.8,Diesel,yes,2016,Hilux,full
Hyundai,sedan,1.6,Petrol,yes,2013,Elantra,front
Lexus,crossover,4.6,Gas,yes,2010,GX,full
Toyota,crossover,3,Diesel,yes,2013,Land Cruiser Prado,full
Audi,crossover,3,Diesel,yes,2013,Q7,full
Mercedes-Benz,other,5,Other,yes,1999,CL 500,rear
BMW,crossover,4.4,Petrol,yes,2010,X6,full
Toyota,crossover,4.5,Diesel,yes,2012,Land Cruiser 200,full
Infiniti,crossover,3.7,Petrol,yes,2014,QX70,full
Toyota,crossover,4.7,Gas,yes,2004,Land Cruiser 100,full
BMW,crossover,3,Diesel,yes,2012,X5,full
Porsche,crossover,3,Diesel,yes,2013,Cayenne,full
Daewoo,sedan,1.5,Petrol,yes,2003,Lanos,front
BMW,crossover,2,Diesel,yes,2016,X5,full
Renault,vagon,1.5,Diesel,yes,2005,Megane,front
VAZ,hatch,1.5,Petrol,yes,2002,21093,front
Land Rover,crossover,5,Petrol,yes,2011,Range Rover,full
Volkswagen,sedan,1.8,Petrol,yes,2012,Passat B7,front
Smart,hatch,0.7,Petrol,yes,2005,Fortwo,rear
Audi,sedan,2,Diesel,yes,2013,A6,front
Opel,sedan,1.4,Petrol,yes,2006,Astra G,front
Volkswagen,sedan,2,Petrol,yes,2006,Passat B6,front
Opel,vagon,2,Diesel,no,2002,Vectra B,front
Hyundai,sedan,1.5,Diesel,yes,2009,Accent,front
Mercedes-Benz,sedan,2.6,Gas,yes,2003,E-Class,rear
BMW,sedan,2.5,Petrol,yes,2000,525,rear
Chery,sedan,1.5,Gas,yes,2013,Amulet,front
Renault,vagon,1.5,Diesel,yes,2012,Megane,front
VAZ,vagon,1.6,Gas,yes,2011,2111,front
Nissan,crossover,1.6,Petrol,yes,2011,Qashqai,front
Skoda,hatch,1.4,Gas,yes,2002,Fabia,front
Audi,vagon,2,Diesel,yes,2009,A4,front
Volkswagen,hatch,1.9,Diesel,no,1999,Golf IV,front
Chevrolet,sedan,3,Other,yes,2013,Malibu,
Renault,van,1.5,Diesel,yes,2014,Kangoo ����.,front
Mitsubishi,sedan,2,Petrol,yes,2010,Lancer X,front
Volkswagen,hatch,1.4,Petrol,yes,2007,Polo,front
Ford,van,1.8,Diesel,yes,2013,Transit Connect ����.,front
Mercedes-Benz,sedan,2.3,Gas,yes,1992,E-Class,
Volkswagen,other,2.5,Diesel,yes,2007,T5 (Transporter) ����.,front
VAZ,sedan,1.5,Gas,yes,1997,21099,front
Audi,sedan,1.6,Other,yes,1996,A4,
Skoda,sedan,1.8,Petrol,yes,2008,Superb,front
Smart,other,0.7,Petrol,yes,2005,Fortwo,rear
Mitsubishi,sedan,1.6,Gas,yes,2007,Lancer,front
Volkswagen,sedan,NA,Diesel,yes,2009,Caddy ����.,
Mercedes-Benz,other,2.99,Diesel,yes,2011,E-Class,rear
Skoda,vagon,1.2,Gas,yes,2006,Fabia,front
Opel,vagon,2.5,Diesel,yes,1997,Omega,rear
Opel,van,2.5,Diesel,yes,2004,Vivaro ����.,front
Ford,van,2.4,Diesel,yes,2001,Transit ����.,rear
Ford,crossover,1.5,Petrol,yes,2016,Kuga,front
Chery,hatch,1.1,Petrol,yes,2008,QQ,front
Smart,other,1,Petrol,yes,2011,Fortwo,
Peugeot,other,1.6,Petrol,yes,2010,RCZ,front
Mazda,hatch,1.5,Petrol,no,1995,323,front
Skoda,sedan,1.6,Petrol,yes,2007,Octavia Tour,front
Mitsubishi,crossover,3.2,Diesel,yes,2013,Pajero Wagon,full
Toyota,sedan,NA,Petrol,yes,2008,Corolla,front
VAZ,sedan,1.3,Petrol,yes,1985,2106,rear
Nissan,crossover,3,Diesel,yes,2003,Patrol,full
Citroen,hatch,1.6,Gas,yes,2008,C4,front
Toyota,sedan,3.5,Gas,yes,2007,Avalon,front
Opel,sedan,2.2,Gas,yes,2006,Vectra C,front
Hyundai,vagon,1.6,Diesel,yes,2014,i30,front
Renault,vagon,1.5,Diesel,yes,2012,Megane,front
Volkswagen,hatch,2,Other,yes,2013,Golf VII,front
Opel,sedan,1.6,Petrol,yes,1987,Kadett,front
Peugeot,van,2,Diesel,yes,2005,Expert ����.,front
Mercedes-Benz,sedan,3.2,Diesel,no,2004,E-Class,rear
Kia,hatch,1.4,Petrol,yes,2008,Ceed,front
VAZ,hatch,1.4,Gas,yes,2010,1119,front
Volkswagen,other,1.9,Other,yes,2007,T5 (Transporter) ����.,front
Chevrolet,vagon,1.8,Gas,yes,2006,Lacetti,front
Hyundai,sedan,1.4,Petrol,yes,2008,Accent,front
ZAZ,sedan,1.5,Petrol,yes,2013,Vida,front
Audi,hatch,1.6,Petrol,yes,2008,A3,front
